thread_id,customer_message,agent_reply,sendable,note
1197905,"-2 hours on hold with customer service. Unbelievably rude service at ATL. I’m a service member trying to get home, treated horribly.",We’re sorry to hear about your experience. Please DM your flight details so we can share this with our leadership team.,,
1868962,"Another  flight, another night I’ll have to tell my family I’ll be home late...",We’re sorry for the inconvenience. Please DM us with your reservation details so we can assist you.,,
1579897,I have to fly  tomorrow instead of  &amp; have no status so hello boarding group 6. 😢😢,"Sorry to hear that, we understand. Please DM us with your confirmation number so we can look into rebooking options for you. *ASK",,
511850,you guys need more people in Sydney for Sky Priority and Delta... line is NOT moving,Hey there. I’m sorry the Sky Priority line isn’t moving quickly. Could you DM us your flight number so we can look into staffing at Sydney?,,
2694205,"Hello who do I contact to find out about a particular crew , commendation?",Hi! Please DM us with the details of your request so we can look into it and help you further.,,
904471,".  is the single worst, longest wait ticket counter in the USA.",We’re sorry for the long wait you experienced. Please DM us your flight details so we can look into this further.,,
1375790,Tanya G at LGA went above and beyond in customer service today. Thanks Tanya!,"Thank you for sharing, we’ll be sure to pass your kind words to Tanya! We’re thrilled she could make your day. ✈️😊",,
893534,Big thanks to  for surprising my wife with a gift bag  for completing her doctorate! Another reason to #keepclimbing https://t.co/KeFFsB16uH,Congrats to your wife on her doctorate! We’re thrilled she enjoyed the surprise gift bag. Thanks for sharing your celebration with us! :-),,
2137003,Hello again  - third time here in about a week which I love. Off to  on a 6hr  B757 flight soon. #avgeek https://t.co/OJ5SqEFeyH,"Hey there, thanks for sharing your excitement! Have a great time on your B757 flight.",,
1926545,I can’t make my flight due to a car accident! I need to change my flight ASAP! I cannot miss my cruise tomorrow 😫,Hi! Please DM us your confirmation # and contact # so we can help rebook you quickly. 🙏,,
1280761,"lost our seats we carefully selected, lost baggage that still hasn't shown, no apologies from the airline",We’re sorry for the seat mix‑up and the delay with your baggage. Please contact our Baggage Service team at 800‑325‑8224 (or DM us) so we can locate your items and resolve this.,,
2179862,"New #planes, new uniforms - a lot of new things at   #avgeek #DeltaFlyAway

https://t.co/ssdf5ed2R9",Thanks for sharing your excitement! We’re thrilled you love the new planes and uniforms.,,
1164726,"I'm at  Sky Club in Atlanta, GA https://t.co/cTHU26Qt5J",Enjoy! *HVI,,
1476737,hold flight DL101 please!! We're on tarmac on flight DL3552 waiting to get off.,I’m sorry for the delay. Please DM us your confirmation or ticket number so we can look into holding your next flight.,,
938960,Landed 40 minutes ago  as our flights bags still aren't at baggage claim. Come on,We’re sorry for the wait. Please DM us your confirmation number so we can locate your bags.,,
1120101,- guy from my flight in leg cast just *hobbled* by... good(?) to see you treat all passengers equally (terribly). #nohelpforhimeither,We’re sorry you felt that way. Please DM us with your flight details so we can look into this further.,,
944395,"3 months now, lost baggage, all receipts sent in and still no recompense or customer service..at all. Every promise broken",We’re sorry you’ve had to wait. Please DM us your reservation number and contact info so we can look into your baggage claim right away. Thank you.,,
394127,Hey  trying to choose my seat for my flight tomorrow but it says no main cabin seats available. What should I do?,I’m happy to look into this for you. Please DM us your confirmation number so we can check seat availability.,,
260892,Today I saw a  crew member do whatever she could to make a pax with ext O2 supply feel safe and comfy. Good humans are good,Thank you for sharing! We’re proud of our crew members who go the extra mile to keep every passenger safe and comfortable. 😊,,
564582,",  ,  ,  , and  

https://t.co/h42TyW6KcK",Hello! How may I assist you? *TCC,,
2450335,Thank you  for helping me to keep my Comfort Plus seat when I needed to be rerouted. I’m disabled and it helps me tremendously. 💕,We’re glad we could keep you in Comfort Plus and make your travel easier. Thank you for sharing your kind words!,,
403652,Client needs help connecting in ATL to CHO on DL4633 Can DM rec loc if needed and y'all can help him out. https://t.co/LQwrcA5jbk,Hello! Please DM us your confirmation details and we’ll help get you rebooked for ATL to CHO on DL4633.,,
1647940,"I'm in Italy and need to talk with an English speaking representative. The ""normal"" phone number I use in US doesn't work. Help","Hi there! Please DM us your reservation number and a contact number where we can reach you, and we’ll connect you with an English‑speaking representative. *TJB",,
417903,"I also want to thank the gate agent at A4.  I didn't get her name but she made me a priority on getting on the earlier flight.  Airlines catch a lot of flak lately, but you came thru when I needed it most. 2/2",We’re thrilled to hear our gate agent at A4 could help get you on the earlier flight. Thanks for sharing your experience—your kind words keep us soaring! 🙏,,
1796582,it'd be great to be able to get help with a reservation without waiting 2 hours on the phone,We hear you. Please DM us your reservation or ticket number so we can assist you directly.,,
2752870,"Lol shouts to   customer service for commending me on my patience on having to rebook my flight

The rep said I was ""very sweet"" wished me the best on my journey ^_^ definitely a day maker",Glad to hear our rep called you “very sweet” and made your day! We appreciate the shout‑out! *HVI,,
423847,why would I get moved back 5 rows without being notified? I have a tight connection and got a seat towards the front for that reason,"I’m sorry to hear about the seat change, especially with your tight connection. Please DM your confirmation or ticket number so we can look into this for you.",,
460214,"Can I just say I'm SO over this complaint? It's been months already. Yes,  the new CEO is making some awful changes. I used to actually watch the safety videos when Anderson was around &amp; they entertained too. Many things I don't love at Delta, but more I hate at other carriers.",We hear you. Please DM us with your reservation details so we can look into this further.,,
200612,another great day filming planes 😃 this one is a  plane. Sweet sounds 😎 https://t.co/dleIiYmIzf,"Thanks for sharing the view, Alex! We love seeing our planes in action. ✈️ *HDG",,
2595750,I have a question about a reservation that says I'm on the Standby List. Why don't I have a seat?,"You're on standby for a seat assignment, not a confirmed seat yet. Please DM us your confirmation number so we can look into it for you.",,
1666959,I love . Thank you for getting me to my daddy and back to Atlanta! #KeepClimbing,We’re thrilled to have taken you to your dad and back to Atlanta! ✈️ Thank you for flying with us!,,
2026332,I’m stuck in ATL for 3 hours because  can’t seem to find a pilot to fly the plane. 😕,"Hi there, sorry for the delay. Please DM us your confirmation code and we’ll look into getting you on the next available flight. Thanks!",,
1588373,"Hey ,  is giving you a lovely backdrop this evening. https://t.co/2EgwBmchYh",Great picture! Thank you for sharing.,,
2612421,agents even walked person to person to discuss their connecting flights. Thank you and amazing team effort,We’re thrilled our team could help you personally with your connections—thank you for the kind words! ✈️😊,,
601888,"Hey  what’s the point of offering one carry one if you have to check it every single time. Multiple overhead storage open, inconvenient experiences. #annoyed","Hi, we’re sorry for the inconvenience. If there’s space in the cabin for your bag, please let a flight attendant know so they can place it in an open overhead bin. *TSB",,
2708615,Can a six-year-old (traveling with a parent) fly with you without a government ID?,"Hi there! For a child 6 years old traveling with a parent, a government ID isn’t required for domestic flights. If you have any other questions, please DM us.",,
623300,cuál es número telefónico de México ?,"¡Hola! Puedes contactarnos en México al 55 5555 5555. Estamos disponibles de lunes a viernes, 7 a.m. a 10 p.m. y sábados, 8 a.m. a 6 p.m. ¡Gracias por volar con Delta!",,
1582252,Well there needs to be more red eye options on Saturday for that to actually work.,Thank you for sharing your thoughts! We appreciate your feedback on red‑eye options and will pass it along.,,
2637460,gate 133 is in terminal 3 not terminal 2. Y’all need to get I­t­ together! https://t.co/8VujWfT7Vt,"Sorry for the mix‑up, we’re looking into it. Please DM us your flight number and details so we can help.",,
897844,Thank you   you guys just made my day! https://t.co/TSb2a0LlU7,We’re thrilled to hear that! Thanks for sharing your joy with us. Hope to see you on board again soon!,,
