thread_id,customer_message,brand_reply,intent,decision,note
2595750,I have a question about a reservation that says I'm on the Standby List. Why don't I have a seat?,"Hi, Dan! I'd be happy to further assist. Can you please DM conf # here?  *TJN https://t.co/6iDGBJAc2m",rebooking_change,escalate,
2637460,gate 133 is in terminal 3 not terminal 2. Y’all need to get I­t­ together! https://t.co/8VujWfT7Vt,"Hi there William, I am  sorry about this misinformation. I am showing that it's at the International terminal. *TBW",website_app_issue,auto,
200612,another great day filming planes 😃 this one is a  plane. Sweet sounds 😎 https://t.co/dleIiYmIzf,Thanks for the great image.  *TAS,praise,auto,
1868962,"Another  flight, another night I’ll have to tell my family I’ll be home late...","I'm very sorry Josh, can you DM your confirmation # to the link provided? I will be glad to help.  *TBT https://t.co/6iDGBJAc2m",delay_cancellation,escalate,
2137003,Hello again  - third time here in about a week which I love. Off to  on a 6hr  B757 flight soon. #avgeek https://t.co/OJ5SqEFeyH,Hey. Thanks for flying with us out to LAX. Hope you'll enjoy your time flown and your time out and about in California. *ADB,praise,auto,
1588373,"Hey ,  is giving you a lovely backdrop this evening. https://t.co/2EgwBmchYh",What an awe-inspiring image. You are blessed to witness such simple majesty. *AFM,praise,auto,
2612421,agents even walked person to person to discuss their connecting flights. Thank you and amazing team effort,Hi Scott! Thanks for the shout out. We LOVE doing what we do. *TMC,praise,auto,
897844,Thank you   you guys just made my day! https://t.co/TSb2a0LlU7,Two thumbs up!! *ALS,praise,auto,
601888,"Hey  what’s the point of offering one carry one if you have to check it every single time. Multiple overhead storage open, inconvenient experiences. #annoyed",...flights. We attempt to make a decision that positively impacts all passengers. I'm sorry for your frustration regarding this process. *ACJ 2/2,inflight_experience,escalate,
1197905,"-2 hours on hold with customer service. Unbelievably rude service at ATL. I’m a service member trying to get home, treated horribly.",Oh no! So sorry for that. Could you provide your confirmation number via DM so I can assist?  *TDL https://t.co/6iDGBJAc2m,other,escalate,
1579897,I have to fly  tomorrow instead of  &amp; have no status so hello boarding group 6. 😢😢,"Can't wait to have you back on board, Reva! *TMB",rebooking_change,escalate,
893534,Big thanks to  for surprising my wife with a gift bag  for completing her doctorate! Another reason to #keepclimbing https://t.co/KeFFsB16uH,"What a huge accomplishment! Congrats to her! Thanks for posting an amazing photo, too! ✈ *TSE",praise,auto,
938960,Landed 40 minutes ago  as our flights bags still aren't at baggage claim. Come on,"So sorry for the delay with the bags, Chris! Our team are aware and are working on it.  *HVI",baggage,escalate,
260892,Today I saw a  crew member do whatever she could to make a pax with ext O2 supply feel safe and comfy. Good humans are good,"Thank you for sharing this amazing tweet with us! Pls, share the flight #.  *HYC",praise,auto,
2708615,Can a six-year-old (traveling with a parent) fly with you without a government ID?,"Hello, Matt. Is the trip related with a domestic or international travel? *AFM",other,escalate,
623300,cuál es número telefónico de México ?,...pedir al agente que transfiera la llamada al departamento de español.   https://t.co/FGkDag1FUK *HMA 2/2,other,escalate,
